FunctionName,Package,Count
http.CanonicalHeaderKey(),HTTP,0
http.DetectContentType(),HTTP,11
http.Error(),HTTP,184
http.Handle(),HTTP,260
http.HandleFunc(),HTTP,520
http.ListenAndServe(),HTTP,680
http.ListenAndServeTLS(),HTTP,35
http.MaxBytesReader(),HTTP,3
http.NotFound(),HTTP,24
http.ParseHTTPVersion(),HTTP,1
http.ParseTime(),HTTP,0
http.ProxyFromEnvironment(),HTTP,7
http.ProxyURL(),HTTP,13
http.Redirect(),HTTP,90
http.Serve(),HTTP,18
http.ServeContent(),HTTP,5
http.ServeFile(),HTTP,53
http.SetCookie(),HTTP,21
http.StatusText(),HTTP,15
http.Client,HTTP,305
http.Do(),HTTP,0
http.Get(),HTTP,289
http.Head(),HTTP,5
http.Post(),HTTP,37
http.PostForm(),HTTP,21
http.CloseNotifier,HTTP,6
http.ConnState,HTTP,3
http.String(),HTTP,0
http.Cookie,HTTP,28
http.CookieJar,HTTP,0
http.Dir,HTTP,158
http.Open(),HTTP,0
http.File,HTTP,1
http.FileSystem,HTTP,4
http.Flusher,HTTP,13
http.Handler,HTTP,107
http.FileServer(),HTTP,162
http.NotFoundHandler(),HTTP,1
http.RedirectHandler(),HTTP,5
http.StripPrefix(),HTTP,77
http.TimeoutHandler(),HTTP,2
http.HandlerFunc,HTTP,161
http.ServeHTTP(),HTTP,0
http.Header,HTTP,16
http.Add(),HTTP,0
http.Del(),HTTP,0
http.Set(),HTTP,0
http.Write(),HTTP,0
http.WriteSubset(),HTTP,0
http.Hijacker,HTTP,4
http.ProtocolError,HTTP,0
http.PushOptions,HTTP,0
http.Pusher,HTTP,0
http.Request,HTTP,1397
http.NewRequest(),HTTP,281
http.ReadRequest(),HTTP,8
http.AddCookie(),HTTP,0
http.BasicAuth(),HTTP,0
http.Context(),HTTP,0
http.Cookie(),HTTP,28
http.Cookies(),HTTP,28
http.FormFile(),HTTP,1
http.FormValue(),HTTP,0
http.MultipartReader(),HTTP,0
http.ParseForm(),HTTP,0
http.ParseMultipartForm(),HTTP,1
http.PostFormValue(),HTTP,0
http.ProtoAtLeast(),HTTP,0
http.Referer(),HTTP,0
http.SetBasicAuth(),HTTP,0
http.UserAgent(),HTTP,0
http.WithContext(),HTTP,0
http.WriteProxy(),HTTP,0
http.Response,HTTP,75
http.ReadResponse(),HTTP,1
http.Location(),HTTP,0
http.ResponseWriter,HTTP,1295
http.NewServeMux(),HTTP,32
http.RoundTripper,HTTP,8
http.NewFileTransport(),HTTP,0
http.ServeMux,HTTP,9
http.Handler(),HTTP,107
http.Server,HTTP,81
http.Close(),HTTP,0
http.SetKeepAlivesEnabled(),HTTP,0
http.Shutdown(),HTTP,0
http.Transport,HTTP,106
http.CancelRequest(),HTTP,0
http.CloseIdleConnections(),HTTP,0
http.RegisterProtocol(),HTTP,0
http.RoundTrip(),HTTP,0
os.Chdir(),OS,13
os.Chmod(),OS,4
os.Chown(),OS,2
os.Chtimes(),OS,2
os.Date(),OS,0
os.Clearenv(),OS,0
os.Environ(),OS,16
os.Executable(),OS,0
os.Exit(),OS,303
os.Expand(),OS,0
os.ExpandEnv(),OS,1
os.Getegid(),OS,0
os.Getenv(),OS,104
os.Geteuid(),OS,0
os.Getgid(),OS,0
os.Getgroups(),OS,1
os.Getpagesize(),OS,0
os.Getpid(),OS,9
os.Getppid(),OS,3
os.Getuid(),OS,1
os.Getwd(),OS,32
os.Hostname(),OS,5
os.IsExist(),OS,2
os.IsNotExist(),OS,28
os.IsPathSeparator(),OS,0
os.IsPermission(),OS,1
os.Lchown(),OS,0
os.Link(),OS,2
os.LookupEnv(),OS,1
os.func(),OS,0
os.Mkdir(),OS,15
os.MkdirAll(),OS,33
os.NewSyscallError(),OS,0
os.Readlink(),OS,1
os.Remove(),OS,31
os.RemoveAll(),OS,6
os.Rename(),OS,12
os.SameFile(),OS,1
os.Setenv(),OS,16
os.Symlink(),OS,2
os.TempDir(),OS,3
os.Truncate(),OS,1
os.Unsetenv(),OS,0
os.File,OS,94
os.Create(),OS,218
os.NewFile(),OS,6
os.Open(),OS,356
os.OpenFile(),OS,113
os.Pipe(),OS,9
os.Close(),OS,2
os.Fd(),OS,0
os.Name(),OS,1
os.Read(),OS,0
os.ReadAt(),OS,0
os.Readdir(),OS,2
os.Readdirnames(),OS,0
os.Seek(),OS,0
os.Stat(),OS,64
os.Sync(),OS,0
os.Write(),OS,4
os.WriteAt(),OS,2
os.WriteString(),OS,0
os.FileInfo,OS,57
os.Lstat(),OS,0
os.FileMode,OS,15
os.IsDir(),OS,0
os.IsRegular(),OS,0
os.Perm(),OS,0
os.String(),OS,0
os.LinkError,OS,1
os.Error(),OS,27
os.PathError,OS,4
os.ProcAttr,OS,8
os.Process,OS,2
os.FindProcess(),OS,5
os.StartProcess(),OS,13
os.Kill(),OS,6
os.Release(),OS,0
os.Signal(),OS,41
os.Wait(),OS,1
os.ProcessState,OS,1
os.Exited(),OS,303
os.Pid(),OS,0
os.Success(),OS,0
os.Sys(),OS,0
os.SysUsage(),OS,0
os.SystemTime(),OS,0
os.UserTime(),OS,0
os.Signal,OS,41
os.SyscallError,OS,1
fmt.Errorf(),FMT,123
fmt.Fprint(),FMT,113
fmt.Fprintf(),FMT,339
fmt.Fprintln(),FMT,74
fmt.Fscan(),FMT,3
fmt.Fscanf(),FMT,5
fmt.Fscanln(),FMT,3
fmt.Print(),FMT,265
fmt.Printf(),FMT,1637
fmt.Println(),FMT,4431
fmt.Scan(),FMT,37
fmt.Scanf(),FMT,58
fmt.Scanln(),FMT,69
fmt.Sprint(),FMT,51
fmt.Sprintf(),FMT,573
fmt.Sprintln(),FMT,5
fmt.Sscan(),FMT,4
fmt.Sscanf(),FMT,9
fmt.Sscanln(),FMT,1
fmt.Formatter,FMT,0
fmt.GoStringer,FMT,0
fmt.ScanState,FMT,0
fmt.Scanner,FMT,0
fmt.State,FMT,0
fmt.Stringer,FMT,9
bufio.ScanBytes(),BUFIO,0
bufio.ScanLines(),BUFIO,8
bufio.ScanRunes(),BUFIO,2
bufio.ScanWords(),BUFIO,3
bufio.ReadWriter,BUFIO,3
bufio.NewReadWriter(),BUFIO,2
bufio.Reader,BUFIO,38
bufio.NewReader(),BUFIO,213
bufio.NewReaderSize(),BUFIO,10
bufio.Buffered(),BUFIO,0
bufio.Discard(),BUFIO,1
bufio.Peek(),BUFIO,1
bufio.Read(),BUFIO,38
bufio.ReadByte(),BUFIO,1
bufio.ReadBytes(),BUFIO,1
bufio.ReadLine(),BUFIO,2
bufio.ReadRune(),BUFIO,0
bufio.ReadSlice(),BUFIO,0
bufio.ReadString(),BUFIO,5
bufio.Reset(),BUFIO,0
bufio.UnreadByte(),BUFIO,0
bufio.UnreadRune(),BUFIO,0
bufio.WriteTo(),BUFIO,0
bufio.Scanner,BUFIO,26
bufio.NewScanner(),BUFIO,132
bufio.Buffer(),BUFIO,0
bufio.Bytes(),BUFIO,0
bufio.Err(),BUFIO,0
bufio.Scan(),BUFIO,2
bufio.Split(),BUFIO,0
bufio.Text(),BUFIO,1
bufio.SplitFunc,BUFIO,0
bufio.Writer,BUFIO,11
bufio.NewWriter(),BUFIO,53
bufio.NewWriterSize(),BUFIO,5
bufio.Available(),BUFIO,0
bufio.Flush(),BUFIO,0
bufio.ReadFrom(),BUFIO,0
bufio.Write(),BUFIO,11
bufio.WriteByte(),BUFIO,0
bufio.WriteRune(),BUFIO,0
bufio.WriteString(),BUFIO,0
net.InterfaceAddrs(),NET,1
net.Interfaces(),NET,9
net.JoinHostPort(),NET,8
net.LookupAddr(),NET,4
net.LookupCNAME(),NET,0
net.LookupHost(),NET,11
net.LookupIP(),NET,8
net.LookupMX(),NET,0
net.LookupNS(),NET,1
net.LookupPort(),NET,0
net.LookupSRV(),NET,2
net.LookupTXT(),NET,1
net.SplitHostPort(),NET,6
net.Addr,NET,5
net.AddrError,NET,0
net.Error(),NET,10
net.Temporary(),NET,0
net.Timeout(),NET,0
net.Buffers,NET,0
net.Read(),NET,3
net.WriteTo(),NET,1
net.Conn,NET,154
net.Dial(),NET,128
net.DialTimeout(),NET,17
net.FileConn(),NET,0
net.Pipe(),NET,3
net.DNSConfigError,NET,0
net.DNSError,NET,2
net.Dialer,NET,128
net.DialContext(),NET,0
net.Error,NET,10
net.Flags,NET,0
net.String(),NET,0
net.HardwareAddr,NET,1
net.ParseMAC(),NET,1
net.IP,NET,20
net.ParseCIDR(),NET,5
net.ParseIP(),NET,33
net.DefaultMask(),NET,0
net.Equal(),NET,0
net.IsGlobalUnicast(),NET,0
net.IsInterfaceLocalMulticast(),NET,0
net.IsLinkLocalMulticast(),NET,0
net.IsLinkLocalUnicast(),NET,0
net.IsLoopback(),NET,0
net.IsMulticast(),NET,0
net.IsUnspecified(),NET,0
net.MarshalText(),NET,0
net.Mask(),NET,0
net.UnmarshalText(),NET,0
net.IPAddr,NET,7
net.ResolveIPAddr(),NET,6
net.Network(),NET,0
net.IPConn,NET,0
net.DialIP(),NET,1
net.ListenIP(),NET,2
net.Close(),NET,0
net.File(),NET,0
net.LocalAddr(),NET,0
net.ReadFrom(),NET,1
net.ReadFromIP(),NET,0
net.ReadMsgIP(),NET,0
net.RemoteAddr(),NET,0
net.SetDeadline(),NET,0
net.SetReadBuffer(),NET,0
net.SetReadDeadline(),NET,0
net.SetWriteBuffer(),NET,0
net.SetWriteDeadline(),NET,0
net.Write(),NET,1
net.WriteMsgIP(),NET,0
net.WriteToIP(),NET,0
net.IPMask,NET,1
net.CIDRMask(),NET,1
net.Println(),NET,0
net.Size(),NET,0
net.IPNet,NET,8
net.Contains(),NET,0
net.Interface,NET,9
net.InterfaceByIndex(),NET,0
net.InterfaceByName(),NET,6
net.Addrs(),NET,5
net.MulticastAddrs(),NET,0
net.InvalidAddrError,NET,0
net.Listener,NET,142
net.FileListener(),NET,1
net.Listen(),NET,142
net.MX,NET,0
net.NS,NET,1
net.OpError,NET,8
net.PacketConn,NET,3
net.FilePacketConn(),NET,0
net.ListenPacket(),NET,9
net.ParseError,NET,0
net.Resolver,NET,0
net.LookupIPAddr(),NET,0
net.SRV,NET,0
net.TCPAddr,NET,11
net.ResolveTCPAddr(),NET,29
net.TCPConn,NET,29
net.DialTCP(),NET,23
net.CloseRead(),NET,0
net.CloseWrite(),NET,0
net.SetKeepAlive(),NET,1
net.SetKeepAlivePeriod(),NET,0
net.SetLinger(),NET,0
net.SetNoDelay(),NET,0
net.TCPListener,NET,6
net.ListenTCP(),NET,27
net.Accept(),NET,0
net.AcceptTCP(),NET,0
net.Addr(),NET,5
net.UDPAddr,NET,16
net.ResolveUDPAddr(),NET,24
net.UDPConn,NET,11
net.DialUDP(),NET,12
net.ListenMulticastUDP(),NET,4
net.ListenUDP(),NET,25
net.ReadFromUDP(),NET,1
net.ReadMsgUDP(),NET,0
net.WriteMsgUDP(),NET,0
net.WriteToUDP(),NET,1
net.UnixAddr,NET,1
net.ResolveUnixAddr(),NET,1
net.UnixConn,NET,1
net.DialUnix(),NET,2
net.ListenUnixgram(),NET,1
net.ReadFromUnix(),NET,0
net.ReadMsgUnix(),NET,0
net.WriteMsgUnix(),NET,0
net.WriteToUnix(),NET,0
net.UnixListener,NET,0
net.ListenUnix(),NET,2
net.AcceptUnix(),NET,0
net.SetUnlinkOnClose(),NET,0
net.UnknownNetworkError,NET,0
